,Place,Count,Latitude,Longitude
36,"""Manuka Oval, Canberra""",1,-35.3190358,149.1357814
74,"""Welbeck Colliery Cricket Club Ground, Market Warsop """,1,53.204121,-1.155944
22,"""Eden Park, Auckland""",1,-36.8480303,174.7717363
67,"""The Wanderers Stadium, Johannesburg""",1,-26.1906174,28.0257739
44,"""Old Deer Park, Richmond """,1,51.4691552,-0.2961593
37,"""McLean Park, Napier""",1,-39.50357169999999,176.9079247
53,"""Saxton Oval, Nelson""",2,-41.3310446,173.2127859
50,"""Rangiri Dambulla International Stadium, Dambulla""",2,7.8985219,80.6770787
69,"""Trelawny Stadium, Trelawny, Jamaica""",2,18.3526143,-77.6077865
71,"""VRA Cricket Ground, Amstelveen""",2,52.3114207,4.870087
6,"""Bready Cricket Club, Bready, Northern Ireland""",2,54.9355531,-7.377361899999999
3,"""Bay Oval, Mount Maunganui""",2,-36.8182065,174.7292544
49,"""R.Premadasa Stadium, Colombo""",3,6.9270786,79.861243
73,"""Warner Park, Basseterre, St Kitts""",3,17.3215255,-62.7037321
26,"""Grange Cricket Club, Edinburgh""",4,55.93133959999999,-3.189465
30,"""Kensington Oval, Bridgetown, Barbados""",4,13.1057481,-59.6227946
31,"""Kent County Cricket Ground, Beckenham""",4,51.4193507,-0.0271801
47,"""Providence Stadium, Guyana""",4,4.860416,-58.93018
20,"""Darren Sammy National Cricket Stadium, Gros Islet, St Lucia""",4,14.0843578,-60.9452794
76,"""Woodbridge Road, Guildford""",4,51.2446764,-0.5768576
13,"""Colwyn Bay Cricket Club Ground, Wales""",4,53.29318199999999,-3.72764
68,"""Trafalgar Road Ground, Southport""",4,53.645708,-3.010113
10,"""City Oval, Pietermaritzburg""",4,-29.6006068,30.3794118
8,"""Castle Park Cricket Ground, Colchester""",4,51.895927,0.8918740000000001
58,"""Sportpark Westvliet, The Hague""",4,52.0688989,4.3793091
56,"""Sinhalese Sports Club, Colombo""",5,6.9270786,79.861243
60,"""St Helen's, Swansea""",5,51.6150392,-3.9610584
24,"""Galle International Stadium, Galle""",5,6.0535185,80.2209773
4,"""Bellerive Oval, Hobart""",5,-42.87630559999999,147.3733529
2,"""Basin Reserve, Wellington""",5,-41.3003208,174.7801835
39,"""Nevill Ground, Tunbridge Wells""",5,51.132377,0.263695
54,"""Seddon Park, Hamilton""",5,-37.7841664,175.2705288
65,"""The Gabba, Brisbane""",6,-27.4860154,153.0369591
48,"""Queen's Park, Chesterfield""",6,53.2330136,-1.4339213
72,"""W.A.C.A. Ground, Perth""",6,-31.94647449999999,115.7905402
0,"""Adelaide Oval, Adelaide""",6,-34.9543332,138.5593418
1,"""Amini Park, Port Moresby""",6,-9.443800399999999,147.1802671
35,"""Mannofield Park, Aberdeen""",6,57.1550338,-2.0882269
9,"""Central Broward Regional Park Stadium Turf Ground, Lauderhill, Florida""",6,26.1403635,-80.2133808
38,"""Melbourne Cricket Ground, Melbourne""",7,-37.8313202,144.9437353
75,"""Willowmoore Park, Benoni""",7,-26.1510854,28.3695699
63,"""Sydney Cricket Ground, Sydney""",7,-33.8895956,151.2237779
52,"""Sabina Park, Kingston, Jamaica""",7,17.9779338,-76.78252169999999
46,"""Pallekele International Cricket Stadium, Pallekele""",7,7.2801042,80.7020359
43,"""North Marine Road Ground, Scarborough""",9,54.288187,-0.4028659
11,"""Civil Service Cricket Club, Belfast""",9,54.59728500000001,-5.93012
7,"""Buffalo Park, East London""",10,-33.0074906,27.9174813
27,"""Hagley Oval, Christchurch""",11,-43.53728330000001,172.6223843
12,"""College Ground, Cheltenham""",12,51.8993855,-2.0782533
61,"""St Lawrence Ground, Canterbury""",12,51.280233,1.0789089
14,"""County Ground, Bristol""",13,42.0313267,-71.2588834
5,"""Boland Park, Paarl""",13,-33.7143719,18.9810746
57,"""Sophia Gardens, Cardiff""",13,51.484295,-3.1895088
55,"""Senwes Park, Potchefstroom""",15,-26.7145297,27.0970475
16,"""County Ground, Derby""",16,41.3294796,-73.0793568
21,"""Diamond Oval, Kimberley""",16,49.679984,-115.983672
42,"""Newlands, Cape Town""",17,-33.9789129,18.4483763
15,"""County Ground, Chelmsford""",18,51.7355868,0.4685497
41,"""New Wanderers Stadium, Johannesburg""",18,-26.2041028,28.0473051
62,"""SuperSport Park, Centurion""",18,-25.864029,28.0888578
59,"""St George's Park, Port Elizabeth""",18,-33.8252617,25.6544677
28,"""Headingley, Leeds""",18,53.8215574,-1.5757947
34,"""Mangaung Oval, Bloemfontein""",19,-29.085214,26.1595761
45,"""Old Trafford, Manchester""",20,53.46165999999999,-2.271707
51,"""Riverside Ground, Chester-le-Street""",22,54.852089,-1.563289
25,"""Grace Road, Leicester""",22,52.5388793,-1.2764178
70,"""Trent Bridge, Nottingham""",22,52.937772,-1.1313849
29,"""Kennington Oval, London""",22,51.4843686,-0.1139201
40,"""New Road, Worcester""",23,52.1895713,-2.2282996
32,"""Kingsmead, Durban""",23,-29.8480046,31.0284445
18,"""County Ground, Northampton""",23,52.249508,-0.8702200000000001
64,"""TBC, TBC""",24,36.0845812,-111.3797378
33,"""Lord's, London""",24,51.5289171,-0.1748869
17,"""County Ground, Hove""",24,50.8279319,-0.168749
66,"""The Rose Bowl, Southampton""",25,50.90970040000001,-1.4043509
19,"""County Ground, Taunton""",29,51.015344,-3.106849
23,"""Edgbaston, Birmingham""",29,52.4608009,-1.914995
